        0.042      0.117348
    0.0519085      0.142509
     0.102623      0.256211
       0.1117      0.273901
      0.15592      0.348514
     0.173839      0.373288
     0.209429      0.413152
     0.213426      0.416852
     0.213859      0.417243
         0.27      0.452425
      0.28075      0.455635
      0.29584      0.458228
     0.346481      0.450602
         0.35      0.449137
     0.368079      0.439697
     0.372985      0.436582
     0.393252      0.421211
       0.5062       0.26175
        0.528      0.216564
      0.53012      0.211922
     0.576815     0.0984752
      0.57983      0.090416
